___;;Хроники Нарнии: Покоритель Зари;The Chronicles of Narnia: The Voyage of the Dawn Treader;
___;;Хроники Нарнии: Принц Каспиан;The Chronicles of Narnia: Prince Caspian;
___;;Хроники Нарнии: Серебряное кресло;The Chronicles of Narnia: The Silver Chair;
___;;Хроники Риддика: Темная ярость;The Chronicles of Riddick: Dark Fury;
___;;Хроники Риддика;The Chronicles of Riddick;
___;;Хронос;Chronos;
___;;Целитель Адамс;Patch Adams;
___;;Цельнометаллическая оболочка;Full Metal Jacket;
___;;Чародей равновесия. Тайна Сухаревой башни;;
___;;Час расплаты;Paycheck;
___;;Человек года;Man of the Year;
___;;Человек из стали 2;Untitled Superman Project;
___;;Человек из стали;Man of Steel;
___;;Человек-волк;The Wolfman;
___;;Человек-муравей;Ant-Man;
___;;Человек-паук 5000;Spider-Man;
___;;Человек-паук и его удивительные друзья;Spider-Man and His Amazing Friends;
___;;Человек-паук: Вдали от дома;Spider-Man: Far from Home;
___;;Человек-паук: Вызов Дракону;Spider-Man: The Dragon's Challenge;
___;;Человек-паук: Снова в бою;Spider-Man Strikes Back;
___;;Человек-паук;Spider-Man;
___;;Человек;Human;
___;;Чем дальше в лес...;Into the Woods;
___;;Черепашки-ниндзя 2;Teenage Mutant Ninja Turtles: Out of the Shadows;
___;;Черепашки-ниндзя;TMNT;
___;;Черная Библия: Происхождение;Baiburu burakku: gaiden;
___;;Черная скала;Blackrock;
___;;Чернильное сердце;Inkheart;
___;;Четвёртый вид;The Fourth Kind;
___;;Четыре пера;The Four Feathers;
___;;Что, если...?;What If...?;
___;;Чудо-женщина: 1984;Wonder Woman 1984;
___;;Чудо-женщина;Wonder Woman;
___;;Чужие против Хищника: Реквием;AVPR: Aliens vs Predator - Requiem;
___;;Чужие: Эпилог;Aliens: Epilogue;
___;;Чужой против Хищника;AVP: Alien vs. Predator;
___;;Чужой: Завет – Пролог: «Тайная Вечеря»;Alien: Covenant - Prologue: Last Supper;
___;;Чужой: Завет – Пролог: Связующее звено;Alien: Covenant - Prologue: The Crossing;
___;;Чужой: Завет – Фобос;Alien: Covenant - Phobos;
___;;Чужой: Завет;Alien: Covenant;
___;;Чёрная Библия: Новый Завет;Shin Bible Black;
___;;Чёрная Библия;Baiburu burakku;
___;;Чёрная Вдова;Black Widow;
___;;Чёрная Пантера 2;Black Panther II;
___;;Чёрный Адам;Black Adam;
___;;Шазам!;Shazam!;
___;;Шан-Чи и легенда десяти колец;Shang-Chi and the Legend of the Ten Rings;
___;;Шерлок Гномс;Sherlock Gnomes;
___;;Шерлок Холмс: Игра теней;Sherlock Holmes: A Game of Shadows;
___;;Шерлок;Sherlock;
___;;Шестерни войны;Gears of War;
___;;Шопо-коп;Paul Blart: Mall Cop;
___;;Эван Всемогущий;Evan Almighty;
___;;Эволюция Борна;The Bourne Legacy;
___;;Эволюция;Evolution;
___;;Эдвард руки-ножницы;Edward Scissorhands;
___;;Электра;Elektra;
___;;Эон Флакс;Aon Flux;
___;;Этим утром в Нью-Йорке;The Angriest Man in Brooklyn;
___;;Это не Аватар;This Ain't Avatar XXX;
___;;Это, блин, рождественское чудо;A Merry Friggin' Christmas;
___;;Я иду искать;Ready or Not;
___;;Я – легенда 2;Untitled I Am Legend Reboot;
___;;Я – легенда;I Am Legend;
___;;Я – начало;I Origins;
___;;Я – Четвертый;I Am Number Four;
___;;Я;I Am;
___;;Явление;The Happening;
___;;Яков лжец;Jakob the Liar;
Документальный;10;Земля: Один потрясающий день;Earth: One Amazing Day;2017
Короткометраж;06;Кумир Тридевятого Королевства;Far Far Away Idol;2004
Короткометраж;07;Книга драконов;Book of Dragons;2011
Короткометраж;07;Шрэк: Медовый месяц (или Призрак Лорда Фаркуада) 4-D;Shrek 4-D;2003
Короткометраж;08;Легенда о Костоломе;Legend of the Boneknapper Dragon;2010
Короткометраж;08;Рапунцель: Счастлива навсегда;Tangled Ever After;2012
Короткометраж;09;Драконы: Гонки бесстрашных. Начало;Dragons: Dawn of the Dragon Racers;
Короткометраж;09;Шрэк мороз, зеленый нос;Shrek the Halls;2007
Короткометраж;09;Шрэк: Хэллоуин;Scared Shrekless;2010
Короткометраж;10;Драконы: Подарок ночной фурии;Dragons: Gift of the Night Fury;2011
Короткометраж;10;Кунг Фьюри;Kung Fury;2015
Мультфильмы;09;Кот в сапогах;Puss in Boots;2011
Мультфильмы;10;Гравити Фолз;Gravity Falls;2012
Мультфильмы;10;Как приручить дракона 2;How to Train Your Dragon 2;2014
Мультфильмы;10;Как приручить дракона;How to Train Your Dragon;2010
Мультфильмы;10;Король Лев;The Lion King;1994
Мультфильмы;10;Кунг-фу Панда;Kung Fu Panda;2008
Мультфильмы;10;Лило и Стич;Lilo & Stitch;2002
Мультфильмы;10;Рапунцель: Дорога к мечте;Tangled: Before Ever After;2017
Мультфильмы;10;Рапунцель: Запутанная история;Tangled;2010
Мультфильмы;10;Шрэк 2;Shrek 2;2004
Мультфильмы;10;Шрэк навсегда;Shrek Forever After;2010
Мультфильмы;10;Шрэк Третий;Shrek the Third;2007
Мультфильмы;10;Шрэк;Shrek;2001
Сериалы;09;Драконы и всадники Олуха;Dragons: Riders of Berk;2012
Сериалы;10;Розарио + Вампир;Rozario to banpaia;2008
Сериалы;10;Драконы: Гонки по краю;Dragons: Race to the Edge;2015
Сериалы;10;Интерны;Интерны;2010
Сериалы;10;Пожиратель Богов;God Eater;2015
Сериалы;10;Токийский гуль;Tokyo Ghoul;2014
Сериалы;10;Четыре тысячи четыреста;The 4400;2004
Фильмы;07;Бегущий в лабиринте: Испытание огнём;Maze Runner: The Scorch Trials;2015
Фильмы;07;Первый мститель: Противостояние;Captain America: Civil War;2016
Фильмы;08;Гарри Поттер и Принц-полукровка;Harry Potter and the Half-Blood Prince;2009
Фильмы;08;Мир Юрского периода 2;Jurassic World: Fallen Kingdom;2018
Фильмы;08;Мстители: Эра Альтрона;Avengers: Age of Ultron;2015
Фильмы;08;Парк Юрского периода 3;Jurassic Park III;2001
Фильмы;08;Сабрина юная ведьмочка;Sabrina the Teenage Witch;1996
Фильмы;08;Хозяин морей: На краю Земли;Master and Commander: The Far Side of the World;2003
Фильмы;08;Чёрная Пантера;Black Panther;2018
Фильмы;09;Бегущий в лабиринте: Лекарство от смерти;Maze Runner: The Death Cure;2018
Фильмы;09;Бегущий в лабиринте;The Maze Runner;2014
Фильмы;09;Властелин колец: Братство кольца;The Lord of the Rings: The Fellowship of the Ring;2001
Фильмы;09;Властелин колец: Возвращение Короля;The Lord of the Rings: The Return of the King;2003
Фильмы;09;Властелин колец: Две крепости;The Lord of the Rings: The Two Towers;2002
Фильмы;09;Гарри Поттер и Дары Смерти: Часть I;Harry Potter and the Deathly Hallows: Part 1;2010
Фильмы;09;Гарри Поттер и Дары Смерти: Часть II;Harry Potter and the Deathly Hallows: Part 2;2011
Фильмы;09;Гарри Поттер и Тайная комната;Harry Potter and the Chamber of Secrets;2002
Фильмы;09;Железный человек 2;Iron Man 2;2010
Фильмы;09;Железный человек 3;Iron Man Three;2013
Фильмы;09;Зеленая книга;Green Book;2018
Фильмы;09;Капитан Марвел;Captain Marvel;2019
Фильмы;09;Кредо убийцы;Assassin's Creed;2016
Фильмы;09;Мстители: Война бесконечности;Avengers: Infinity War;2018
Фильмы;09;Первый мститель: Другая война;Captain America: The Winter Soldier;2014
Фильмы;09;Первый мститель;Captain America: The First Avenger;2011
Фильмы;09;Тор 2: Царство тьмы;Thor: The Dark World;2013
Фильмы;10;Великая стена;The Great Wall;2016
Фильмы;10;Гарри Поттер и Кубок огня;Harry Potter and the Goblet of Fire;2005
Фильмы;10;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix;2007
Фильмы;10;Гарри Поттер и узник Азкабана;Harry Potter and the Prisoner of Azkaban;2004
Фильмы;10;Гарри Поттер и философский камень;Harry Potter and the Sorcerer's Stone;2001
Фильмы;10;Доктор Стрэндж;Doctor Strange;2016
Фильмы;10;Железный человек;Iron Man;2008
Фильмы;10;История рыцаря;A Knight's Tale;2001
Фильмы;10;Майор Пэйн;Major Payne;1995
Фильмы;10;Мир Юрского периода;Jurassic World;2015
Фильмы;10;Мстители;The Avengers;2012
Фильмы;10;Невероятный Халк;The Incredible Hulk;2008
Фильмы;10;Обитель зла;Resident Evil;2002
Фильмы;10;Парк Юрского периода 2: Затерянный мир;The Lost World: Jurassic Park;1997
Фильмы;10;Парк Юрского периода;Jurassic Park;1993
Фильмы;10;Стражи Галактики. Часть 2;Guardians of the Galaxy Vol. 2;2017
Фильмы;10;Стражи Галактики;Guardians of the Galaxy;2014
Фильмы;10;Тор: Рагнарёк;Thor: Ragnarok;2017
Фильмы;10;Тор;Thor;2011
Фильмы;10;Хеллбой: Герой из пекла;Hellboy;2004
Фильмы;10;Человек-муравей и Оса;Ant-Man and the Wasp;2018
Фильмы;10;Человек-муравей;Ant-Man;2015
Фильмы;10;Человек-паук: Возвращение домой;Spider-Man: Homecoming;2017
10;;Тайны Смолвиля;Smallville;
10;;Мулан;Mulan;
Мультфильмы;10;Блич 3;Gekijô ban Bleach: Fade to Black (Kimi no na o yobu);2008
Мультфильмы;10;Блич 1;Bleach: Memories of Nobody;2006
Мультфильмы;10;Блич 2;Gekijô ban Bleach: The DiamondDust Rebellion (Mô hitotsu no hyôrinmaru);2007

https://myshows.me/annaburova89
https://www.kinopoisk.ru/user/2244732/

★01 (0,5) – херово снятое кино, отсутствие элементарных навыков съемки у создателей. Хочется выколоть глаза, настолько это бездарно, глупо и посредственно. Абсолютно не за что зацепиться.
★02 (1,0) – разочаровывающее кино, за существование которого стыдно. И все же до единицы его отделяет как минимум две составляющих.
★03 (1,5) – разочаровывающее кино, за которое не стыдно. Сильно раздражающее или непроходимо унылое.
★04 (2,0) – плохо, фильм не вызвал положительных эмоций, раздражал, но снят не совсем уж бесталанно. Было до кучи плохих мест, которые перекрыли хорошие. Не оправдал ожидания. Пересматривать не захочется никогда.
★05 (2,5) – так себе: фильм оставил равнодушным, понравились отдельные нюансы, но не более. Не жалеешь о потраченном времени на просмотр. Плохого было столько же, сколько и хорошего. Оценка также подходит для guilty pleasure - умом понимаешь, что фильм слабоват, но все равно вызвал интерес.
★06 (3,0) – неплохо, то, что скорее понравилось, чем нет. Есть что-то, что делает фильм не отвратительным и смотрибельным, но можно было сделать лучше. Можно даже порекомендовать другим, с оговоркой, что это слабый фильм.
★07 (3,5) – годно, можно пересмотреть через энное число лет, не стыдно глянуть в компании друзей. Были неинтересные места, которые хотелось пропустить, не самая качественная игра актеров, сюжетные дыры или другие косяки на ваше усмотрение, но фильм все равно был занимательным.
★08 (4,0) – очень хорошее кино, которое увлекло и которое было интересно смотреть. Есть пара выделяющихся минусов, не отбивающих интереса, и плюсы явно перевешивают эти минусы.
★09 (4,5) – замечательный фильм, который отлично снят, но не хватило какой-то составляющей, что-то показалось неуместным, и хотелось вырезать эту неуместность, хотя в целом этот фильм почти идеален.
★10 (5,0) – выдающиеся фильмы, которые хочется пересматривать и которые заставляют много думать о них, эмоционально цепляющие и вдохновляющие. Могут быть не признаны публикой как шедевры, но обязательно близки вам. В них не надо добавлять что-то или убирать - они уже прекрасны.

|-Раздел-|-Коллекция-|-Год-|-Название-(ру)-|-Название-(оригинал)-|-Оценка-|
|:---|:---|:---:|:---|:---|:---:|
| Фильмы | X-Men | 2000 | Люди Икс | X-Men | 10 |
